airport_key,airport,airport_icao,latitude_x,longitude_x,timezone,city,country,continent,country_code,geoname_id,name,asciiname,alternatenames,admin1_code,admin2_code,latitude_y,longitude_y,haversine,state,county
29,Raiatea,NTTR,-16.725004000000002,-151.46666000000002,Pacific/Tahiti,Raiatea,French Polynesia,Oceania,PF,7730133,Raiatea Airport,Raiatea Airport,"Aeroport de Raiatea,Aéroport de Raiatea,NTTR,RFP,Raiatea Airport,Uturoa Airport",02,,-16.7229,-151.466,0.2442838631036744,Leeward Islands,
30,Rangiroa,NTTG,-14.956334,-147.65915,Pacific/Tahiti,Rangiroa,French Polynesia,Oceania,PF,6299966,Rangiroa Airport,Rangiroa Airport,"Aeroport de Rangiroa,Aéroport de Rangiroa,Bandar Udara Rangiroa,Flughafen Rangiroa,NTTG,RGI,Rangiroa / Tuamoto Island Airport,Rangiroa Airport",03,,-14.954279999999999,-147.6608,0.2891094212725639,Îles Tuamotu-Gambier,
31,Aratika-Nord,NTKK,-15.485299,-145.46886999999998,Pacific/Tahiti,Aratika,French Polynesia,Oceania,PF,8298642,Aratika Airport,Aratika Airport,"NTKK,RKA",,,-15.485610000000001,-145.46705,0.1980706949634654,,
32,Rimatara,NTAM,-22.638783,-152.80516,Pacific/Tahiti,Rimatara,French Polynesia,Oceania,PF,8260896,Rimatara,Rimatara,"NTAM,RMT",,,-22.64,-152.8,0.5465726894345587,,
33,Raroia,NTKO,-16.044859,-142.47556,Pacific/Tahiti,Raroia,French Polynesia,Oceania,PF,8260893,Raroia Airport,Raroia Airport,"Aeroport de Raroia,Aéroport de Raroia,NTKO,RRR,Raroia Airport",03,,-16.04717,-142.47701,0.30007400340475726,Îles Tuamotu-Gambier,
34,Rurutu,NTAR,-22.433332,-151.33333000000002,Pacific/Tahiti,Rurutu,French Polynesia,Oceania,PF,7730119,Rurutu Airport,Rurutu Airport,"Aeroport de Rurutu,Aéroport de Rurutu,NTAR,RUR,Rurutu Airport",05,,-22.43189,-151.36622,3.3842622919232164,Îles Australes,
35,Raivavae,NTAV,-25.883333,-147.65,Pacific/Tahiti,Rairua,French Polynesia,Oceania,PF,8260758,Raivavae Airport,Raivavae Airport,"Aeroport de Raivavae,Aéroport de Raivavae,NTAV,RVV,Raivavae Airport",05,10295370,-23.88615,-147.66522,222.0822297583902,Îles Australes,Raivavae
36,Tikehau Atoll,NTGC,-15.118639000000002,-148.2338,Pacific/Tahiti,Tikehau Atoll,French Polynesia,Oceania,PF,6354927,Tikehau Airport,Tikehau Airport,"NTGC,TIH,Tikehau Airport",,,-15.119710000000001,-148.23113,0.3103708373941887,,
37,Takume,NTKM,-15.850556,-142.26693999999998,Pacific/Tahiti,Takume,French Polynesia,Oceania,PF,8260901,Takume,Takume,"NTKM,TJN",,,-15.857999999999999,-142.267,0.8277610577448785,,
38,Takapoto,NTGT,-15.45,-145.14166,Pacific/Tahiti,Takapoto,French Polynesia,Oceania,PF,7730126,Takapoto Airport,Takapoto Airport,"NTGT,TKP",,,-14.7095,-145.246,83.09851985716593,,
