airport_key,airport,airport_icao,latitude,longitude,timezone,city,country,continent
86,Brisbane International,YBBN,-27.40303,153.10905,Australia/Brisbane,Brisbane,Australia,Oceania
87,Ballina Byron Gateway,YBNA,-28.837606,153.5564,Australia/Sydney,Ballina,Australia,Oceania
88,Borroloola,BOCH,-16.066668,136.28334,Australia/Darwin,Borroloola,Australia,Oceania
89,Boulia,YBOU,-22.9,139.9,Australia/Brisbane,Boulia,Australia,Oceania
90,Balgo Hills,YBGO,-20.183332,127.8,Australia/Perth,Balgo Hills,Australia,Oceania
91,Bourke,YBKE,-30.083332,145.93333,Australia/Sydney,Bourke,Australia,Oceania
92,Bathurst Island,YBTI,-11.766667,130.63333,Australia/Darwin,Bathurst Island,Australia,Oceania
93,Bairnsdale,YBNS,-37.833332,147.63333,Australia/Melbourne,Bairnsdale,Australia,Oceania
94,Betoota,YBEO,-25.7,140.73334,Australia/Brisbane,Betoota,Australia,Oceania
95,Burketown,YBKT,-17.75,139.53334,Australia/Brisbane,Burketown,Australia,Oceania
96,Bunbury,YBUN,-33.316666,115.63333,Australia/Perth,Bunbury,Australia,Oceania
97,Birdsville,YBDV,-25.898333,139.34334,Australia/Brisbane,Birdsville,Australia,Oceania
98,Beverley Springs,YBYS,-15.0,124.0,Australia/Perth,Beverley Springs,Australia,Oceania
99,Barrow Island,YBWX,-20.783333,115.416664,Australia/Perth,Barrow Island,Australia,Oceania
100,Brewarrina,YBRW,-29.95,146.86667,Australia/Sydney,Brewarrina,Australia,Oceania
101,Burnie Wynyard,YBUI,-40.993145,145.72507,Australia/Hobart,Burnie,Australia,Oceania
102,Sydney Bankstown,YSBK,-33.916668,151.03334,Australia/Sydney,Sydney,Australia,Oceania
103,Kingsford Smith,YSSY,-33.932922,151.1799,Australia/Sydney,Sydney,Australia,Oceania
104,Bendigo,YBDG,-36.734722,144.30194,Australia/Melbourne,Bendigo,Australia,Oceania
105,Balranald,YBRN,-34.61667,143.61667,Australia/Sydney,Balranald,Australia,Oceania
106,Cobar,YCBA,-31.535,145.79333,Australia/Sydney,Cobar,Australia,Oceania
107,Cape Barren Island,YCBN,-40.333332,148.16667,Australia/Hobart,Cape Barren Island,Australia,Oceania
108,Canberra,YSCB,-35.30735,149.19052,Australia/Sydney,Canberra,Australia,Oceania
109,Condobolin,YCDO,-33.86667,148.25,Australia/Sydney,Condobolin,Australia,Oceania
